Template;Number of Uses;NoCopyrightReason
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-anon-70-EU"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-anon-70-EU</a>";2043;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-70-expired"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-old-70-expired</a>";1328;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-anon-expired"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-anon-expired</a>";768;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-70"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-old-70</a>";734;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-EU-no_author_disclosure"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-EU-no author disclosure</a>";360;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-old</a>";279;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-Art"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-Art</a>";202;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-auto-expired"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-old-auto-expired</a>";146;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-100"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-old-100</a>";87;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:Cc-zero"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">Cc-zero</a>";62;Copyrights waived or made free
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-US-expired"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-US-expired</a>";32;Public domain because of age
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-scan"" style=""color:#b1bfc3;"", target=""_blank"" rel=""nofollow noopener"">PD-scan</a>";31;Public domain because of age
