Template;Number of Uses
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-anon-70-EU"" target=""_blank"" rel=""nofollow noopener"">PD-anon-70-EU</a>";2043
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-70-expired"" target=""_blank"" rel=""nofollow noopener"">PD-old-70-expired</a>";1328
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-anon-expired"" target=""_blank"" rel=""nofollow noopener"">PD-anon-expired</a>";768
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-70"" target=""_blank"" rel=""nofollow noopener"">PD-old-70</a>";734
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-EU-no_author_disclosure"" target=""_blank"" rel=""nofollow noopener"">PD-EU-no author disclosure</a>";360
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old"" target=""_blank"" rel=""nofollow noopener"">PD-old</a>";279
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-Art"" target=""_blank"" rel=""nofollow noopener"">PD-Art</a>";202
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-auto-expired"" target=""_blank"" rel=""nofollow noopener"">PD-old-auto-expired</a>";146
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-100"" target=""_blank"" rel=""nofollow noopener"">PD-old-100</a>";87
"<a href=""https://commons.wikimedia.org/wiki/Template:Cc-zero"" target=""_blank"" rel=""nofollow noopener"">Cc-zero</a>";62
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-US-expired"" target=""_blank"" rel=""nofollow noopener"">PD-US-expired</a>";32
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-scan"" target=""_blank"" rel=""nofollow noopener"">PD-scan</a>";31
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-1996"" target=""_blank"" rel=""nofollow noopener"">PD-1996</a>";30
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-IDOld-Art30"" target=""_blank"" rel=""nofollow noopener"">PD-IDOld-Art30</a>";29
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-US"" target=""_blank"" rel=""nofollow noopener"">PD-US</a>";26
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-IDOld-Art58"" target=""_blank"" rel=""nofollow noopener"">PD-IDOld-Art58</a>";26
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-IDOld-Art59"" target=""_blank"" rel=""nofollow noopener"">PD-IDOld-Art59</a>";23
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-IDGov"" target=""_blank"" rel=""nofollow noopener"">PD-IDGov</a>";18
"<a href=""https://commons.wikimedia.org/wiki/Template:Cc-by-sa-4.0"" target=""_blank"" rel=""nofollow noopener"">Cc-by-sa-4.0</a>";17
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-anon-70"" target=""_blank"" rel=""nofollow noopener"">PD-anon-70</a>";14
"<a href=""https://commons.wikimedia.org/wiki/Template:Cc-by-4.0"" target=""_blank"" rel=""nofollow noopener"">Cc-by-4.0</a>";8
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-auto"" target=""_blank"" rel=""nofollow noopener"">PD-old-auto</a>";8
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-ineligible"" target=""_blank"" rel=""nofollow noopener"">PD-ineligible</a>";7
"<a href=""https://commons.wikimedia.org/wiki/Template:self"" target=""_blank"" rel=""nofollow noopener"">self</a>";6
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-art-old-100-expired"" target=""_blank"" rel=""nofollow noopener"">PD-art-old-100-expired</a>";5
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-textlogo"" target=""_blank"" rel=""nofollow noopener"">PD-textlogo</a>";4
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-old-100-expired"" target=""_blank"" rel=""nofollow noopener"">PD-old-100-expired</a>";4
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-text"" target=""_blank"" rel=""nofollow noopener"">PD-text</a>";4
"<a href=""https://commons.wikimedia.org/wiki/Template:PD-collective-work"" target=""_blank"" rel=""nofollow noopener"">PD-collective-work</a>";3
